epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,4777.64,1.06281,0.86799,2.27082,0.88651,0.79573,0.86775,0.61468,1.1046,0.74607,2.37717,0.000679204,0.000679204,0.000679204
55,4852.55,1.0727,0.88231,2.29378,0.88254,0.79745,0.87105,0.61984,1.09556,0.74352,2.382,0.000665057,0.000665057,0.000665057
56,4932.71,1.05156,0.85296,2.274,0.88746,0.79789,0.86755,0.61692,1.10482,0.74358,2.37138,0.000650909,0.000650909,0.000650909
57,5023.34,1.0643,0.87342,2.28764,0.88545,0.80386,0.87354,0.62586,1.09193,0.73286,2.37079,0.000636762,0.000636762,0.000636762
58,5113.79,1.04811,0.84532,2.25417,0.89322,0.79457,0.8691,0.61907,1.09166,0.72481,2.37401,0.000622615,0.000622615,0.000622615
59,5204.28,1.04321,0.84735,2.25901,0.90164,0.78171,0.86719,0.61993,1.09028,0.72503,2.3759,0.000608468,0.000608468,0.000608468
60,5295.1,1.04858,0.84243,2.27047,0.89296,0.79109,0.86554,0.62087,1.09318,0.7284,2.37102,0.000594321,0.000594321,0.000594321
61,5385.71,1.03299,0.83328,2.25631,0.89581,0.79355,0.86973,0.62397,1.08697,0.72799,2.37064,0.000580174,0.000580174,0.000580174
62,5475.77,1.03326,0.84085,2.24412,0.89592,0.78753,0.86691,0.62281,1.08012,0.72502,2.36524,0.000566027,0.000566027,0.000566027
63,5565.16,1.03173,0.83783,2.24882,0.90002,0.79052,0.87052,0.62658,1.07633,0.71603,2.36347,0.00055188,0.00055188,0.00055188
64,5655.17,1.02672,0.83243,2.23997,0.88654,0.81116,0.87589,0.62943,1.07589,0.70926,2.36906,0.000537733,0.000537733,0.000537733
65,5744.78,1.02421,0.83258,2.24867,0.9038,0.80358,0.87289,0.62948,1.07042,0.71269,2.36001,0.000523586,0.000523586,0.000523586
66,5833.92,1.01941,0.82799,2.24728,0.89981,0.80005,0.87051,0.62807,1.07219,0.71256,2.36193,0.000509438,0.000509438,0.000509438
67,5924.2,1.01098,0.81751,2.23514,0.89687,0.80435,0.87022,0.62824,1.06706,0.70466,2.36186,0.000495291,0.000495291,0.000495291
68,6014.62,1.01549,0.8184,2.23857,0.92152,0.78937,0.87564,0.63463,1.07012,0.71056,2.35199,0.000481144,0.000481144,0.000481144
69,6105.05,1.01174,0.80955,2.24651,0.90644,0.79357,0.87584,0.63516,1.05982,0.70069,2.33179,0.000466997,0.000466997,0.000466997
70,6195.06,1.00351,0.8046,2.21621,0.89282,0.79873,0.87246,0.63679,1.05612,0.70138,2.33733,0.00045285,0.00045285,0.00045285
71,6284.94,1.00213,0.79822,2.22768,0.90167,0.79927,0.87286,0.63468,1.05513,0.70023,2.34102,0.000438703,0.000438703,0.000438703
